"EventDate","CaclEventStartTime2","CalcEventEndTime2","CalcEventType","EventTitleName","EventLocation","EventDescription","Latitude","Longitude"
"April 7, 2011",09:00:00,00:00:00,"*P","CPW Registration and Help Desk","Student Center (W20), 2nd Floor, La Sala de Puerto Rico"," ","42.359083","-71.094761"
"April 7, 2011",09:00:00,11:00:00,"F","ZBT Breakfast of Champions","Zeta Beta Tau, 58 Manchester Rd., Brookline","Start your day off right with a breakfast meal of your choosing. Eggs, pancakes, french toast, bacon strips, and bacon strips, and bacon strips, what up sausage? And the ZBT classic, a McZBT. Call Rick for Rides (617-232-3257).","42.348808","-71.124008"
"April 7, 2011",09:00:00,16:00:00,"*A","Thursday UROP Tours Sign-up","Student Center (W20), 3rd Floor, Mezzanine Lounge","See first-hand the accessible and cutting edge research opportunities available to MIT undergraduates! A complete list of tour descriptions for Thursday’s UROP tours will be available. Tour sign-up required to participate. Limit one tour per student; first-come, first-served. For general information about the UROP program, come to the UROP discussion panel Friday, April 8th at 1pm in Kresge Auditorium (W16).","42.359019595617745","-71.09448194503784"
"April 7, 2011",09:00:00,17:00:00,"*P","Parent Hospitality Lounge","Student Center (W20), 2nd Floor, La Sala de Puerto Rico","Grab a cup of coffee or tea and chat with current MIT parents as well as parents of other MIT prefrosh. Also, learn about the MIT Parents Association and the Parent Connector Network from current volunteers and staff.","42.359083","-71.094761"
"April 7, 2011",09:00:00,17:00:00,"*C","Classes","Various Locations ","Many MIT classes open their doors to prefrosh during CPW. See your registration packet for the list sorted by date, time and subject. Before sitting in on a class that is not on the list, you <b>must</b> receive permission from the department in advance; some classes will be holding exams or do not have space to accommodate visitors.","42.35903545149308","-71.09280824661255"
"April 7, 2011",09:00:00,17:00:00,"RDPM","Chocolate City Jukebox","Student Center Steps (W20)","Chocolate City will be setting up their speakers in front of the student center at 84 Massachusetts Ave. We'll be playing music and welcoming the newly accepted class and pointing people in the right direction if they can't find their way. You can't miss us, we are wearing Black and Yellow and spinning the hottest beats!","42.358825360820106","-71.09462678432465"
"April 7, 2011",09:00:00,17:00:00,"PG","Hillel Open House","Religious Activities Center (W11)","Stop by the Hillel Office (basement of W11) any time to meet the friendly Hillel staff.","42.35819508458667","-71.0935378074646"
"April 7, 2011",09:00:00,17:00:00,"*P","Student Financial Services Open House","Room 11-120","For general questions regarding our financial aid program, loans, student employment, and/or billing, please visit the Student Services Center in 11-120. Staff will also be available to answer individual questions about your financial aid application or award.","42.359507161954426","-71.09275996685028"
"April 7, 2011",09:00:00,17:45:00,"FP","Get On The Ball","All around campus!","Come join the brother of Zeta Beta Tau as we roll our 6-foot ball around campus collecting signatures to help the Children's Hospital of Boston!",,
"April 7, 2011",10:00:00,11:00:00,"*TP","Campus Tour","Student Center (W20), 2nd Floor","Departing on the hour and the half hour from Wiesner Student Art Gallery. ","42.359083","-71.094761"
"April 7, 2011",10:00:00,12:00:00,"FO","Sunday Brunch with the Pikes","MacGregor House (W61), BBQ Pits","Come eat food with the brothers of Pi Kappa Alpha. We're excited to meet the class of 2015!",,
"April 7, 2011",10:30:00,11:30:00,"*TP","Campus Tour","Student Center (W20), 2nd Floor","Departing on the hour and the half hour from Wiesner Student Art Gallery. ","42.359083","-71.094761"
"April 7, 2011",11:00:00,12:00:00,"*TP","Campus Tour","Student Center (W20), 2nd Floor","Departing on the hour and the half hour from Wiesner Student Art Gallery. ","42.359083","-71.094761"
"April 7, 2011",11:00:00,12:00:00,"ADP","Tour of the Freshman Learning Communities","Room 24-612","Interested in a more personalized and interactive approach to your first year at MIT? Consider joining one of MIT's freshman learning communities. Find out more by taking a one-hour tour of all four programs (Concourse, Experimental Study Group, Media Arts and Sciences, and Terrascope). The tour will start in Room 24-612 (ESG) and will give you a chance to briefly visit all four programs and ask questions of staff and students involved. ","42.360700296138525","-71.09188556671143"
"April 7, 2011",11:00:00,14:00:00,"D","Grilling at East Campus","East Campus Courtyard (between Buildings 62 and 64)","Come to the EC Courtyard for a variety of grilled foods. Like burgers. And probably vegetables and mysterious soy products if we can get our act together. ","42.36033561965575","-71.08843088150024"
"April 7, 2011",11:30:00,12:30:00,"*TP","Campus Tour","Student Center (W20), 2nd Floor","Departing on the hour and the half hour from Wiesner Student Art Gallery. ","42.359083","-71.094761"
